"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000123610",319.899107608552,-2.42972773116789,0.488672085782151,-4.97210256501342,6.62306480237771e-07,1.91790279984723e-05
"ENSG00000101825",4737.75731695119,-1.33086162874896,0.268159062003189,-4.96295601128382,6.94283109081023e-07,2.00284146419659e-05
"ENSG00000114767",205.762638337664,0.964844702100228,0.194396081924499,4.96329294576504,6.93079228403238e-07,2.00284146419659e-05
"ENSG00000135678",858.384735747728,1.45434491908161,0.293138198549511,4.96129445523617,7.00249445350505e-07,2.01621251897973e-05
"ENSG00000126803",470.062830404187,2.55666926429289,0.515404471793043,4.96051044221343,7.03081814761344e-07,2.02052639175722e-05
"ENSG00000146411",1030.22429994008,-0.9003303865485,0.181517563346107,-4.96001802774204,7.04866379082742e-07,2.02181843015306e-05
"ENSG00000116649",1261.85035183926,0.795773607516511,0.160562185126512,4.95617076268298,7.18960337930057e-07,2.05834675197556e-05
"ENSG00000258947",525.238151708243,-1.43727662999808,0.290803699421522,-4.94242897479355,7.71552172449276e-07,2.20474672674421e-05
"ENSG00000123213",536.109436705438,0.732457921545508,0.148371892488165,4.93663529703873,7.94819039906545e-07,2.26695562323628e-05
"ENSG00000274047",504.6864889638,-0.600717881905449,0.121807678750292,-4.93169140130264,8.15206349611721e-07,2.32073311369728e-05
"ENSG00000169855",1823.34915464204,-1.26926921937645,0.257391254995126,-4.9312833856787,8.16911214050724e-07,2.3212233277295e-05
"ENSG00000162772",370.386762363785,1.78645903993757,0.362361175498453,4.93005090150778,8.22081940670665e-07,2.33154138416802e-05
"ENSG00000198960",615.840106456865,-0.630276614585082,0.128037952429137,-4.92257649101276,8.54121626110363e-07,2.41788262195167e-05
"ENSG00000135070",738.321493036144,0.526105244448066,0.106895635737975,4.92167187945509,8.58079935864532e-07,2.42455608743812e-05
"ENSG00000100154",2015.1953004522,-0.847958799677169,0.172313591049625,-4.92102099731043,8.60938923365045e-07,2.4281042820044e-05
"ENSG00000175538",158.402125940673,-1.23148901654498,0.250401465286307,-4.91805834736992,8.74068619100982e-07,2.46055190265509e-05
"ENSG00000115963",17566.069247416,-0.750936901846652,0.152714342989113,-4.91726505283257,8.77616891405468e-07,2.46595692399551e-05
"ENSG00000113552",1601.94321317934,-0.625772789285224,0.127532125838255,-4.90678552695713,9.25811745096599e-07,2.59655905175703e-05
"ENSG00000101955",4382.94592682955,0.9497579774989,0.193658404381896,4.90429517133669,9.37634045664985e-07,2.62485538291982e-05
"ENSG00000134871",4509.49075225117,0.920979658227212,0.187809127895145,4.90380669219338,9.39969959456636e-07,2.62653967453335e-05
"ENSG00000086062",3238.14445797698,-0.581662221411169,0.118843490658602,-4.89435490482263,9.86287111608113e-07,2.74863699027578e-05
"ENSG00000168461",3786.76123221124,0.856424941047928,0.174989373868351,4.89415398269977,9.87295161908238e-07,2.74863699027578e-05
"ENSG00000136235",26550.4558211881,-0.399312498059893,0.0816138181482725,-4.89270698418299,9.94584273570901e-07,2.76384932536354e-05
"ENSG00000064666",9555.09310167796,0.786206000376885,0.160703666884802,4.89227169247149,9.96787129244425e-07,2.76489763230894e-05
"ENSG00000173947",78.9745702975922,-1.27532428838557,0.260806188326735,-4.88993108855169,1.00871284448463e-06,2.79286216265444e-05
"ENSG00000113140",31373.1573400551,-0.565096603866505,0.115703585770026,-4.8840025147509,1.03953747721947e-06,2.86772223906901e-05
"ENSG00000206052",207.196957906122,-1.26497447156009,0.258984659822666,-4.88436061203877,1.03765016449262e-06,2.86772223906901e-05
"ENSG00000133069",146.588668067564,-1.07399143274439,0.219921810546528,-4.88351487319702,1.04211285253599e-06,2.86911709559091e-05
"ENSG00000169504",17541.9034391418,0.790618743459424,0.1619062011317,4.88319000713449,1.04383197073e-06,2.86911709559091e-05
"ENSG00000134046",1430.89137592792,0.573584797425098,0.117556605909527,4.87922216694938,1.06505039045922e-06,2.92213553686682e-05
"ENSG00000101608",5385.86083332554,0.883034846972755,0.181180778975216,4.87377773717126,1.09484163300999e-06,2.99800795424284e-05
"ENSG00000147100",1313.38399180987,-0.443582920749031,0.0910203177813121,-4.87344948426565,1.09666319356258e-06,2.99800795424284e-05
"ENSG00000100292",2424.338623894,-1.31392799196638,0.269693657729992,-4.87192766424578,1.10514634005135e-06,3.01575519280678e-05
"ENSG00000162878",1601.7843157763,1.53136261753563,0.314380243181051,4.87105233471597,1.11005429655993e-06,3.02370005780578e-05
"ENSG00000225697",379.462680355667,0.85643827732675,0.175985227746696,4.86653503985835,1.13571795332476e-06,3.088051777936e-05
"ENSG00000184304",781.432501456156,0.67199948924377,0.13833248647088,4.85785737239119,1.18662834370742e-06,3.22069646334209e-05
"ENSG00000169218",600.480021303615,1.39095020058584,0.28646948672518,4.85549164934354,1.20088415343599e-06,3.25355822965797e-05
"ENSG00000105137",1424.02601953486,0.502092100459066,0.103418659067815,4.8549469214238,1.20418993687241e-06,3.25668867748798e-05
"ENSG00000163171",1533.26038771797,1.3468989555089,0.277529600826382,4.8531722436033,1.21502073601127e-06,3.28012282475769e-05
"ENSG00000196639",679.471014531725,-0.66628757950234,0.137626492227162,-4.84127415238184,1.29009242510851e-06,3.47659248723636e-05
"ENSG00000164933",532.536858648778,0.793566224244302,0.164231265911295,4.83200455066166,1.35165164779613e-06,3.63601495663809e-05
"ENSG00000066697",811.920497556838,-0.729876312222746,0.151119002550487,-4.82981160479075,1.36662291792797e-06,3.66977022908141e-05
"ENSG00000162407",26271.8317891605,-1.01028714070444,0.209207341231998,-4.82911897237913,1.37138457776944e-06,3.67603883722445e-05
"ENSG00000130224",373.449971746483,0.768168691458203,0.159415036064139,4.81867150316446,1.44517268872438e-06,3.86698593122452e-05
"ENSG00000129467",115.740160721441,-1.26103906059818,0.261790674820474,-4.81697471257506,1.45751151253389e-06,3.89312378436079e-05
"ENSG00000178425",521.393856850533,-0.735784639912563,0.152973863781462,-4.80987158017858,1.51027294543876e-06,4.02695136596303e-05
"ENSG00000074590",415.240238467516,1.17681398090657,0.24472981450666,4.80862531309825,1.51971749750411e-06,4.04501256585234e-05
"ENSG00000169093",770.108553504925,0.499994271380963,0.10411240329079,4.80244673619205,1.56738520016899e-06,4.16456997483498e-05
"ENSG00000167797",317.038681401614,0.896351201462136,0.186806634535467,4.79828354967744,1.60031121737671e-06,4.24460829897904e-05
"ENSG00000126860",49.0566441773305,-1.4616368821646,0.305046129670422,-4.79152737896979,1.65516428377317e-06,4.38242361499032e-05
"ENSG00000113460",504.369796794206,0.934727775679702,0.195095024617692,4.79114102223464,1.65835512145651e-06,4.383209129923e-05
"ENSG00000172985",807.707463234926,0.902774867180698,0.188558464383002,4.78777163430316,1.68643391822346e-06,4.44965883127079e-05
"ENSG00000168481",19.7490345633743,4.37297542614716,0.914348279535568,4.78261459448293,1.73029685227692e-06,4.55745144830156e-05
"ENSG00000099194",1441.84356435431,-1.98138770009551,0.414371990428714,-4.78166417099173,1.73849939239616e-06,4.57110647531941e-05
"ENSG00000181826",154.667107414862,1.0199406900951,0.213361943054614,4.78033090387646,1.75006903331814e-06,4.59355208138704e-05
"ENSG00000088766",404.97194401248,0.658000421777539,0.137988637375608,4.76851162742081,1.85591963143341e-06,4.8629589650621e-05
"ENSG00000253276",1090.19227712462,1.0062469336734,0.211218188250888,4.76401649879773,1.89776977435844e-06,4.96402819216902e-05
"ENSG00000031698",2854.40174470785,-0.517718482532959,0.108806931159767,-4.75813881537348,1.95386119525345e-06,5.10193582795061e-05
"ENSG00000120162",56.5435318596547,2.00106877503016,0.420688449488836,4.75665252388457,1.96829536798534e-06,5.13078026646092e-05
"ENSG00000150593",2749.67624435495,-0.667391058290097,0.140355502504873,-4.75500458748973,1.98441911026209e-06,5.16392223795864e-05
"ENSG00000104687",1076.04240543086,0.746196448640518,0.157199945559865,4.74679839094697,2.06661758902807e-06,5.36859749328132e-05
"ENSG00000188176",57.0726191706306,-3.05859399242927,0.644951929456009,-4.74235962827349,2.11243194704441e-06,5.47821606814856e-05
"ENSG00000105281",5659.78828451388,0.425756025123296,0.0898043908056721,4.74092659950882,2.12743001748404e-06,5.50767993415313e-05
"ENSG00000134851",1900.59473277852,0.566769660953205,0.119569123073935,4.74010050740898,2.13612230751973e-06,5.52074613436625e-05
"ENSG00000075624",86753.2705741531,0.92268309431929,0.194760416545129,4.73752886077594,2.1634005449254e-06,5.58172082672832e-05
"ENSG00000025708",200.111922490569,1.47757124270055,0.311968275055878,4.73628686261734,2.1766942954446e-06,5.60646855518852e-05
"ENSG00000153443",340.46851160828,0.676825458217461,0.142920320435028,4.73568388426017,2.18317653996138e-06,5.61361777550341e-05
"ENSG00000116194",246.268169869322,2.1276001755336,0.450049074154083,4.72748484047581,2.27318029200776e-06,5.83513822414535e-05
"ENSG00000196950",794.992247520349,-1.05871805943024,0.224032202093696,-4.72574053879742,2.29278250451986e-06,5.87549763637112e-05
"ENSG00000256223",182.185275000717,-0.769668788035416,0.162981690476267,-4.72242486739633,2.33049194276674e-06,5.96204399885174e-05
"ENSG00000103742",356.320229431388,-2.10450094352359,0.446482022465349,-4.71351776249159,2.434764902988e-06,6.19739738752156e-05
"ENSG00000137393",166.280273311696,1.9484195090355,0.413354805802703,4.71367329394372,2.43290630855362e-06,6.19739738752156e-05
"ENSG00000151917",306.806460884735,-0.606288692036199,0.128622274236083,-4.71371460065595,2.43241292399742e-06,6.19739738752156e-05
"ENSG00000165533",721.767447559042,-0.647811789794293,0.137515374646115,-4.71083172671698,2.46707877411941e-06,6.26568896657197e-05
"ENSG00000165821",387.894084894386,-0.684203112702733,0.145247507732586,-4.71060139608327,2.46986881019707e-06,6.26568896657197e-05
"ENSG00000171792",353.301165154753,-0.690596086570583,0.146729259464986,-4.70660104936589,2.51881157847042e-06,6.37916410634356e-05
"ENSG00000143570",2248.07773727612,0.335692420165848,0.0713390958061689,4.70558837860711,2.53134811792857e-06,6.40021156027181e-05
"ENSG00000081052",209.421196170264,2.00670775998877,0.426484055524432,4.70523512894566,2.53573530916624e-06,6.40061854288713e-05
"ENSG00000158747",12172.6126395093,0.720565455402312,0.153210166269344,4.70311776919264,2.56218527940983e-06,6.45337812786099e-05
"ENSG00000203722",86.1705423804655,-1.02070983178965,0.217039263512697,-4.70288101456786,2.56515921622471e-06,6.45337812786099e-05
"ENSG00000131459",1036.26411293511,1.35408409945767,0.288330527438766,4.69629113325588,2.64927868737356e-06,6.6539511973918e-05
"ENSG00000178764",841.987801307467,-0.655271082465919,0.139840568027613,-4.68584397008836,2.78808615087387e-06,6.98973688565396e-05
"ENSG00000274944",27.2819964296372,4.32447613945923,0.922940461108165,4.6855418325326,2.79220258555341e-06,6.98973688565396e-05
"ENSG00000162643",93.6536541505661,-1.70022814462587,0.36299502782006,-4.68388824727564,2.81483515291879e-06,7.03476541104869e-05
"ENSG00000176894",116.894501982781,0.894154813184405,0.190981027104398,4.68190388721506,2.84222743575635e-06,7.09152133682537e-05
